MetaName,AlgoConfig,Timeout,Parameters,StartSol_Profit,MH_Profit,Runtime
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 34, 17, ..., 61, 38, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 10000}",388154.0,396848.0,28.09375
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 10000}",388144.0,398705.0,28.265625
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.001, 'neighborhood': 'random_swap_within_week', 'temperature': 10000}",388144.0,388338.0,27.75
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.0001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 10000}",388144.0,396049.0,28.140625
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.0001, 'neighborhood': 'random_swap_within_week', 'temperature': 10000}",388144.0,388546.0,27.71875
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 20000}",388144.0,399405.0,28.75
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.001, 'neighborhood': 'random_swap_within_week', 'temperature': 20000}",388144.0,388155.0,27.734375
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.0001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 20000}",388144.0,401563.0,28.453125
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.0001, 'neighborhood': 'random_swap_within_week', 'temperature': 20000}",388144.0,388521.0,27.84375
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.001, 'neighborhood': 'random_swap_within_week', 'temperature': 10000}",388144.0,388260.0,27.71875
